ID,ppos,def,mf,st,foot,Age,RepGK,HeiGK,ClubNT,tpos,tup0,tup,tmid0,tmid,tbot0,tbot,otpos,oup0,oup,omid0,omi,obot0,obot,fav,favU,favF,loc,locH,locN,locA,rno,rno1,rno2,rnoGroup,rnoLS,rnoQF,rnoSF,rnoF,rko,comp,comLea,comCup,comECC,comQuali,comNTC,comFrie,SpecM,Imp,Importantness Game,IngSo,iLdbb,bb3,bb2o,bb2,bb1,d0,il1,il2,Min,Minf30,Minf3,Mins30,Mins3,Mint30,Mint3,Min900,Min90,Dec,GKSo,GKS,moveGK,notmovingGK,nmovGK,cjGrey,cjBlack,cjBlue,cjGreen,cjYellow,cjOrange,cjRed,la1,la2,la3,la4,la5,la6,lpbg,lGKd,tlpmon,Stlsbg,SlGKd,Solsbg,SR1,SRGK1,SR2,SRGK2,SR3,SRGK3,SR4,SRGK4,SR5,SRGK5,SR6,SRGK6,MP1,MPGK1,MP2,MPGK2,MP3,MPGK3,MP4,MPGK4,MP5,MP6,MPGK6,perc1,perc2,perc3,perc4,perc5,perc6,av_1,av_2,av_3,av_4,av_5,av_6,move,still,Choice,Player Name,Status
1,1,1,0,0,0,6,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,7,0,0,0,0,0,0,1,1,6,0,0,0,0,1,0,1,3,5,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,"6,46,55,172","6,61,74,034","3,78,78,788","3,87,68,626","3,30,18,868","3,37,94,538","1,68,56,492","17,25,24,801","24,22,36,025","24,79,26,567","18,43,87,618","18,87,19,201","12,06,89,655","12,35,24,864","15,90,90,909","16,28,28,229","15,56,60,377","15,93,17,108","3,98,63,326","4,07,99,784",0,"2,28,80,215","2,34,17,711",0,0,0,0,0,0,1,1,1,1,1,1,1,0,4,Abidal,Goal
2,3,0,0,1,0,13,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,5,0,0,0,0,1,0,0,1,6,0,0,0,0,1,0,0,3,4,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"6,46,55,172","6,68,20,586","3,78,78,788","3,91,47,414","3,30,18,868","3,41,24,727","1,68,56,492","17,42,10,451","24,22,36,025","25,03,48,928","18,43,87,618","19,05,63,077","12,06,89,655","1,24,73,176","15,90,90,909","16,44,19,138","15,56,60,377","16,08,73,712","3,98,63,326","4,11,98,417",0,"2,28,80,215","2,36,46,513",0,0,0,0,0,0,1,1,1,1,1,1,1,0,5,Abreu,Goal
3,1,1,0,0,1,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,1,0,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,3,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,"6,46,55,172","6,29,41,275","3,78,78,788","3,68,74,687","3,30,18,868","3,21,43,595","1,68,56,492","16,40,96,555","24,22,36,025","23,58,14,766","18,43,87,618","1,79,49,982","12,06,89,655","11,74,90,381","15,90,90,909","15,48,73,684","15,56,60,377","1,51,53,409","3,98,63,326","3,88,06,618",0,"2,28,80,215","2,22,737",0,0,0,0,0,0,1,1,1,1,1,1,1,0,3,Adams,Missed
4,3,0,0,1,1,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,1,0,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,3,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,"6,46,55,172","6,29,41,275","3,78,78,788","3,68,74,687","3,30,18,868","3,21,43,595","1,68,56,492","16,40,96,555","24,22,36,025","23,58,14,766","18,43,87,618","1,79,49,982","12,06,89,655","11,74,90,381","15,90,90,909","15,48,73,684","15,56,60,377","1,51,53,409","3,98,63,326","3,88,06,618",0,"2,28,80,215","2,22,737",0,0,0,0,0,0,1,1,1,1,1,1,1,0,4,Adamyan,Goal
5,3,0,0,1,1,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,5,0,0,0,0,1,0,0,1,6,0,0,0,0,1,0,0,3,4,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,"6,46,55,172","6,48,80,931","3,78,78,788","38,01,105","3,30,18,868","3,31,34,161","1,68,56,492","16,91,53,503","24,22,36,025","24,30,81,847","18,43,87,618","18,50,31,449","12,06,89,655","1,21,11,107","15,90,90,909","15,96,46,411","15,56,60,377","15,62,03,901","3,98,63,326","4,00,02,518",0,"2,28,80,215","2,29,60,107",0,0,0,0,0,0,1,1,1,1,1,1,1,0,6,Adiyiah,Saved
6,3,0,0,1,1,1,0,10,0,1,1,2,0,1,0,1,2,0,1,1,2,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,3,0,6,0,0,0,0,0,0,1,3,0,1,1,2,0,1,0,1,0,3,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,46,55,172","6,55,27,482","3,78,78,788","3,83,89,838","3,30,18,868","3,34,64,349","1,68,56,492","17,08,39,152","24,22,36,025","24,55,04,207","18,43,87,618","18,68,75,325","12,06,89,655","12,23,17,967","15,90,90,909","1,61,23,732","15,56,60,377","15,77,60,505","3,98,63,326","4,04,01,151",0,"2,28,80,215","2,31,88,909",0,0,0,0,0,0,1,1,1,1,1,1,1,0,4,Agüero,Goal
6,3,0,0,1,1,1,0,2,0,1,1,2,0,1,0,1,3,0,1,0,1,1,2,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,3,0,4,0,0,0,0,1,0,0,2,1,2,0,1,0,1,0,1,0,3,2,0,1,2,0,1,0,0,0,0,0,1,1,1,2,1,1,2,1,4,0,0,0,"6,46,55,172","6,03,55,069","3,78,78,788","3,53,59,535","3,30,18,868","30,82,284","1,68,56,492","15,73,53,958","24,22,36,025","22,61,25,325","18,43,87,618","17,21,24,316","12,06,89,655","11,26,62,795","15,90,90,909","14,85,10,047","15,56,60,377","14,53,07,674","3,98,63,326","3,72,12,085",0,"2,28,80,215","2,13,58,492",0,0,0,1,0,0,1,1,1,1,1,1,1,0,6,Agüero,Missed
6,3,0,0,1,1,1,0,16,0,1,1,2,0,1,0,1,2,0,1,1,2,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,3,0,2,0,1,1,0,0,0,0,5,0,1,0,1,1,2,0,1,0,3,2,3,0,1,0,0,0,1,0,0,0,1,1,1,1,1,2,1,1,1,0,0,0,"6,46,55,172","5,97,08,517","3,78,78,788","3,49,80,747","3,30,18,868","3,04,92,651","1,68,56,492","15,56,68,309","24,22,36,025","22,37,02,965","18,43,87,618","1,70,28,044","12,06,89,655","11,14,55,898","15,90,90,909","14,69,19,138","15,56,60,377","14,37,51,071","3,98,63,326","3,68,13,452",0,"2,28,80,215","21,12,969",0,0,0,"0,5",0,"0,5",1,1,1,1,1,1,1,0,5,Agüero,Goal
6,3,0,0,1,1,1,0,5,0,2,0,1,1,2,0,1,2,0,1,1,2,0,1,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,3,0,5,0,0,0,0,0,1,0,4,0,1,1,2,0,1,0,1,0,4,3,3,0,1,0,0,1,0,0,0,0,1,1,1,1,2,1,2,3,2,0,0,0,"6,46,55,172","6,22,94,724","3,78,78,788","3,64,95,899","3,30,18,868","3,18,13,406","1,68,56,492","16,24,10,906","24,22,36,025","23,33,92,406","18,43,87,618","17,76,55,944","12,06,89,655","11,62,83,484","15,90,90,909","15,32,82,775","15,56,60,377","14,99,77,486","3,98,63,326","3,84,07,985",0,"2,28,80,215","2,20,44,898",0,0,0,"33,33,33,333","33,33,33,333","33,33,33,333",1,1,1,1,1,1,1,0,5,Agüero,Goal
6,3,0,0,1,1,2,0,7,0,1,1,2,0,1,0,1,2,0,1,1,2,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,3,0,5,0,0,0,0,0,1,0,5,0,1,0,1,1,2,0,1,0,3,2,0,1,2,0,1,0,0,0,0,0,1,1,1,1,2,1,2,3,9,0,0,0,"6,46,55,172","6,35,87,827","3,78,78,788","3,72,53,474","3,30,18,868","3,24,73,783","1,68,56,492","16,57,82,205","24,22,36,025","23,82,37,126","18,43,87,618","18,13,43,697","12,06,89,655","11,86,97,277","15,90,90,909","15,64,64,593","15,56,60,377","15,30,90,693","3,98,63,326","3,92,05,251",0,"2,28,80,215","2,25,02,502",0,0,0,"0,25","0,5","0,25",1,1,1,1,1,1,1,0,6,Agüero,Goal
6,3,0,0,1,1,3,1,12,0,1,1,2,0,1,0,1,1,1,2,0,1,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,3,0,6,0,0,0,0,0,0,1,5,0,1,0,1,1,2,0,1,0,3,2,0,1,2,0,0,0,1,0,0,0,1,1,1,1,1,2,2,1,7,0,0,0,"6,46,55,172","6,68,20,586","3,78,78,788","3,91,47,414","3,30,18,868","3,41,24,727","1,68,56,492","17,42,10,451","24,22,36,025","25,03,48,928","18,43,87,618","19,05,63,077","12,06,89,655","1,24,73,176","15,90,90,909","16,44,19,138","15,56,60,377","16,08,73,712","3,98,63,326","4,11,98,417",0,"2,28,80,215","2,36,46,513",0,0,0,"0,2","0,4","0,4",1,1,1,1,1,1,1,0,6,Agüero,Goal
6,3,0,0,1,1,3,0,14,0,1,1,2,0,1,0,1,2,0,1,1,2,0,1,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,3,0,4,0,0,0,0,1,0,0,1,1,2,0,1,0,1,0,1,0,3,2,0,1,2,0,0,0,1,0,0,0,1,1,1,1,1,2,2,1,3,0,0,0,"6,46,55,172","6,81,13,689","3,78,78,788","39,90,499","3,30,18,868","3,47,85,104","1,68,56,492","17,75,81,749","24,22,36,025","25,51,93,648","18,43,87,618","1,94,25,083","12,06,89,655","12,71,45,553","15,90,90,909","16,76,00,957","15,56,60,377","1,63,98,692","3,98,63,326","4,19,95,684",0,"2,28,80,215","2,41,04,118",0,0,0,"16,66,66,667","33,33,33,333","0,5",1,1,1,1,1,1,1,0,3,Agüero,Goal
6,3,0,0,1,1,3,1,15,0,1,1,2,0,1,0,1,1,1,2,0,1,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,3,0,3,0,0,0,1,0,0,0,6,0,1,0,1,1,2,0,1,0,3,2,0,1,2,0,0,0,0,1,0,0,1,1,2,1,1,1,2,1,2,0,0,0,"6,46,55,172","6,87,60,241","3,78,78,788","4,02,83,778","3,30,18,868","3,51,15,293","1,68,56,492","17,92,67,398","24,22,36,025","25,76,16,008","18,43,87,618","19,60,94,706","12,06,89,655","1,28,35,245","15,90,90,909","16,91,91,866","15,56,60,377","16,55,43,524","3,98,63,326","4,23,94,317",0,"2,28,80,215","24,33,292",0,0,"14,28,57,143","14,28,57,143","28,57,14,286","42,85,71,429",1,1,1,1,1,1,1,0,4,Agüero,Goal
6,3,0,0,1,1,4,0,12,0,1,1,2,0,1,0,1,3,0,1,0,1,1,2,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,3,0,5,0,0,0,0,0,1,0,4,0,1,1,2,0,1,0,1,0,3,2,0,1,2,0,0,0,0,0,0,1,1,1,1,2,1,1,2,3,7,0,0,0,"6,46,55,172","6,68,20,586","3,78,78,788","3,91,47,414","3,30,18,868","3,41,24,727","1,68,56,492","17,42,10,451","24,22,36,025","25,03,48,928","18,43,87,618","19,05,63,077","12,06,89,655","1,24,73,176","15,90,90,909","16,44,19,138","15,56,60,377","16,08,73,712","3,98,63,326","4,11,98,417",0,"2,28,80,215","2,36,46,513",0,0,125,"0,25","0,25",375,1,1,1,1,1,1,1,0,6,Agüero,Goal
6,3,0,0,1,1,4,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,3,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,2,3,0,3,0,0,0,1,0,0,0,5,0,1,0,1,1,2,0,1,0,3,2,0,1,2,0,0,0,0,0,1,0,1,1,1,1,1,2,2,3,1,0,0,0,"6,46,55,172","5,97,08,517","3,78,78,788","3,49,80,747","3,30,18,868","3,04,92,651","1,68,56,492","15,56,68,309","24,22,36,025","22,37,02,965","18,43,87,618","1,70,28,044","12,06,89,655","11,14,55,898","15,90,90,909","14,69,19,138","15,56,60,377","14,37,51,071","3,98,63,326","3,68,13,452",0,"2,28,80,215","21,12,969",0,0,"11,11,11,111","22,22,22,222","22,22,22,222","44,44,44,444",1,1,1,1,1,1,1,0,6,Agüero,Goal
6,3,0,0,1,1,4,0,16,0,1,1,2,0,1,0,1,2,0,1,1,2,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,3,0,6,0,0,0,0,0,0,1,5,0,1,0,1,1,2,0,1,0,3,2,0,1,2,0,0,0,0,0,1,0,1,1,1,1,1,2,2,1,2,0,0,0,"6,46,55,172","7,06,99,896","3,78,78,788","4,14,20,141","3,30,18,868","3,61,05,859","1,68,56,492","18,43,24,346","24,22,36,025","26,48,83,089","18,43,87,618","20,16,26,335","12,06,89,655","13,19,73,139","15,90,90,909","17,39,64,593","15,56,60,377","17,02,13,335","3,98,63,326","4,35,90,217",0,"2,28,80,215","2,50,19,326",0,0,"0,1","0,2","0,2","0,5",1,1,1,1,1,1,1,0,6,Agüero,Goal
6,3,0,0,1,1,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,1,0,0,4,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0,2,3,0,5,0,0,0,0,0,1,0,1,1,2,0,1,0,1,0,1,0,3,2,0,1,2,0,0,0,0,1,0,0,1,1,1,1,1,2,2,3,2,0,0,0,"6,46,55,172","6,48,80,931","3,78,78,788","38,01,105","3,30,18,868","3,31,34,161","1,68,56,492","16,91,53,503","24,22,36,025","24,30,81,847","18,43,87,618","18,50,31,449","12,06,89,655","1,21,11,107","15,90,90,909","15,96,46,411","15,56,60,377","15,62,03,901","3,98,63,326","4,00,02,518",0,"2,28,80,215","2,29,60,107",0,0,"9,09,09,091","18,18,18,182","18,18,18,182","54,54,54,545",1,1,1,1,1,1,1,0,1,Agüero,Goal
6,3,0,0,1,1,5,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,3,0,0,1,0,0,0,0,0,5,0,0,0,1,0,0,0,2,3,0,4,0,0,0,0,1,0,0,1,1,2,0,1,0,1,0,1,0,4,3,0,1,2,0,0,0,0,0,0,0,2,1,1,1,1,1,2,3,4,0,0,0,"6,46,55,172","6,81,13,689","3,78,78,788","39,90,499","3,30,18,868","3,47,85,104","1,68,56,492","17,75,81,749","24,22,36,025","25,51,93,648","18,43,87,618","1,94,25,083","12,06,89,655","12,71,45,553","15,90,90,909","16,76,00,957","15,56,60,377","1,63,98,692","3,98,63,326","4,19,95,684",0,"2,28,80,215","2,41,04,118","8,33,33,333",0,"8,33,33,333","16,66,66,667","16,66,66,667","0,5",1,1,1,1,1,1,1,0,4,Agüero,Goal
