Platform,URL
Wii,https://logosvector.net/wp-content/uploads/2012/04/wii-logo-vector-01.png
NES,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/SNES-Mod1-Console-Set.png/1280px-SNES-Mod1-Console-Set.png
GB,https://lirp-cdn.multiscreensite.com/1677e7ce/dms3rep/multi/opt/gbairl-640w.png
DS,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/DSLite_white_trans.png/1127px-DSLite_white_trans.png
X360,https://cdn.instructables.com/ORIG/FIO/ABER/GQ5Q4R7N/FIOABERGQ5Q4R7N.png
PS3,https://lh3.googleusercontent.com/proxy/MqTDpI0TWMXC46RFXvAAqyDMgw8QmCoSimjLo7q5AbVXEfCMmPgkUOL19jNO75jSqntSj8hbE__5UD7UNVnr7oUz8nrZaCRjCpTahWmKduBDXacbmTwdy4yDV8TB3m471Whw3TdTYGkYBQMkQOc
PS2,https://i1.wp.com/freepngimages.com/wp-content/uploads/2014/05/playstation_logo_2.png?fit=220%2C220
SNES,https://i.pinimg.com/originals/f6/11/cd/f611cd7f140a82d021292ded41f03e48.png
GBA,https://lh3.googleusercontent.com/proxy/nuRCkmcIPut_qIHTbrc21898ptvz8W9I823ta4Jj6N9_JbNj_cL4bQHEkM7-H4OZAv-YWI7PXwMXehOTn1SORbmTxl8JOptB0Q
3DS,https://drakemall-files.s3.eu-central-1.amazonaws.com/Nintendo-cjks0nbvw000o01n6t3sfxsjr.png
PS4,https://lh3.googleusercontent.com/proxy/zF4mJsd6lC8aNPVYW8vV_CER-Ps3xUcOP4rVywtf4pmyE6vVN2eexYv4PVGZPjuI953GX_B0R5fISsYBcOLFVDii1kTNb1XkyeOl7xVHKSvjcALPWI4
N64,https://upload.wikimedia.org/wikipedia/commons/2/27/Nintendo-64-Console-FL.png
PS,https://i0.wp.com/freepngimages.com/wp-content/uploads/2015/10/playstation-one-games-console-transparent-background.png?fit=600%2C300
XB,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Microsoft-Xbox-One-Console-wKinect.png/800px-Microsoft-Xbox-One-Console-wKinect.png
PC,https://lh3.googleusercontent.com/proxy/BkF7a6EyRm3jbLrbHqArOODl9-jFxih6dh55whENupa0Y0ZENccEjoo3mnU3XUmJMhR4l86qhRIBXaVjIpmtEo78cFs587BKJt7xnxqeD_mykRptJghBXi1IQQwyHBGGKUM
2600,https://cnet4.cbsistatic.com/img/zAy4XaMPW7VNHZGgh1SuPShgeh8=/1200x675/2017/07/17/11450e6d-e116-4ea3-8209-d3bce7dcb146/ar3630-id-mockup-1.png
PSP,https://www.freeiconspng.com/uploads/psp-icon-5.png
XOne,https://www.windowscentral.com/sites/wpcentral.com/files/field/image/2019/04/xbox-one-s-face-off.png?itok=2Ti__gMM
GC,https://upload.wikimedia.org/wikipedia/commons/2/2b/GameCube-Console-Set.png
WiiU,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Wii_U_Console_and_Gamepad.png/300px-Wii_U_Console_and_Gamepad.png
GEN,https://www.smachz.com/static/imgs/front-main-console.png
DC,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Dreamcast-Console-Set.png/800px-Dreamcast-Console-Set.png
PSV,https://psmedia.playstation.com/is/image/psmedia/psvita-features-screen-two-column-mobile-04-psvita-eu-04oct16?$TwoColumn_Image$
SAT,https://metro.co.uk/wp-content/uploads/2016/07/sega-saturn.png
SCD,https://i.imgur.com/zxCbxqW.png
